Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
Voltas,Blue,Semi Automatic Top Load,8.0,1300.0,4.4,4,27,11929.0
IFB,Grey,Fully Automatic Top Load,7.0,1000.0,4.1,26,314,21450.0
Whirlpool,Grey,Semi Automatic Top Load,8.0,1400.0,4.4,561,6237,13070.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Siemens,Silver,Fully Automatic Front Load,8.0,1000.0,4.2,0,6,39190.0
Haier,Blue,Fully Automatic Front Load,9.0,1400.0,4.3,38,330,49990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
IFB,Grey,Fully Automatic Front Load,8.0,1200.0,4.4,34,261,36990.0
ONIDA,Grey,Fully Automatic Top Load,7.0,750.0,4.2,1475,13614,12990.0
SAMSUNG,Red,Semi Automatic Top Load,9.0,1300.0,4.4,33,339,18819.0
Avoir,White,Semi Automatic Top Load,5.0,1300.0,4.0,21,136,8699.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Whirlpool,Grey,Semi Automatic Top Load,7.0,1400.0,4.3,607,8840,9990.0
Lloyd,Grey,Fully Automatic Top Load,6.0,680.0,4.0,9,96,18690.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
IFB,Grey,Fully Automatic Front Load,8.0,1400.0,4.3,47,377,44990.0
Voltas,White,Semi Automatic Top Load,0.0,1350.0,4.3,371,4615,13790.0
LG,Black,Fully Automatic Top Load,1.0,700.0,4.3,9,107,47990.0
Haier,Grey,Fully Automatic Top Load,8.0,1200.0,4.3,2106,23856,23850.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
LG,Black,Semi Automatic Top Load,5.0,1200.0,4.7,6,61,18990.0
SAMSUNG,White,Fully Automatic Front Load,7.0,1200.0,4.5,34,443,29990.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Whirlpool,Grey,Semi Automatic Top Load,7.0,1400.0,4.3,607,8840,9990.0
Thomson,Grey,Fully Automatic Top Load,8.0,700.0,3.9,119,760,15990.0
LG,Silver,Fully Automatic Front Load,9.0,700.0,4.5,100,1151,28990.0
IFB,Grey,Fully Automatic Front Load,5.0,1000.0,4.8,2,20,31490.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
SAMSUNG,Grey,Fully Automatic Top Load,5.0,700.0,4.2,5,73,21000.0
SAMSUNG,Maroon,Fully Automatic Top Load,5.0,680.0,4.3,42,319,22200.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Midea,Silver,Fully Automatic Front Load,6.0,1000.0,4.0,72,513,22490.0
Panasonic,Grey,Fully Automatic Top Load,5.0,700.0,4.3,1073,10582,15200.0
IFB,Grey,Fully Automatic Front Load,6.0,800.0,4.2,72,938,24890.0
ONIDA,Grey,Fully Automatic Top Load,8.0,700.0,4.2,4648,40435,17190.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
LG,Silver,Fully Automatic Front Load,8.0,1200.0,4.5,7,50,38990.0
BOSCH,Grey,Fully Automatic Front Load,7.0,1200.0,4.4,834,9340,31490.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
SAMSUNG,Grey,Fully Automatic Front Load,8.0,1400.0,4.4,0,0,40000.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.1,200,2040,23670.0
SAMSUNG,White,Fully Automatic Front Load,6.0,1350.0,4.4,8,94,24990.0
Godrej,Grey,Fully Automatic Top Load,5.0,670.0,4.2,116,1271,20999.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Midea,Grey,Fully Automatic Top Load,7.0,680.0,4.1,202,1613,15490.0
SAMSUNG,Grey,Fully Automatic Front Load,8.0,1400.0,4.4,6,43,39900.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
IFB,Grey,Fully Automatic Front Load,5.0,720.0,4.3,1538,18564,17590.0
SAMSUNG,Grey,Fully Automatic Front Load,8.0,1400.0,4.4,438,5467,38500.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.3,1407,14465,18490.0
IFB,Grey,Fully Automatic Front Load,6.0,800.0,4.3,43,448,27390.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
